Entity,Code,Year,labour_force_dependency_ratio,age_dependency_ratio,high_labour_force_dependency
Estonia,EST,2030,1.045077565,1.187535632,0.987898768
Estonia,EST,2035,1.065137774,1.213722639,0.967092686
Estonia,EST,2040,1.096655225,1.256004522,0.94690591
Estonia,EST,2045,1.117103704,1.331314797,0.96029473
Estonia,EST,2050,1.161781712,1.441872607,0.992634674
Estonia,EST,2055,1.204233625,1.54035614,1.044959865
Estonia,EST,2060,1.245063272,1.571328647,1.06790615
Finland,FIN,2015,1,1,1
Finland,FIN,2020,1.047907469,1.112321347,1.018906862
Finland,FIN,2025,1.110498113,1.207657158,1.046601548
Finland,FIN,2030,1.141168946,1.280841567,1.052545765
Finland,FIN,2035,1.161909653,1.320340635,1.037666656
Finland,FIN,2040,1.179541766,1.296962034,0.990305307
Finland,FIN,2045,1.172741858,1.304651527,0.98070826
Finland,FIN,2050,1.176818968,1.331796696,0.965487295
Finland,FIN,2055,1.205744598,1.37339098,0.977902771
Finland,FIN,2060,1.232224668,1.428606943,0.997715318
France,FRA,2015,1,1,1
France,FRA,2020,1.025716139,1.071692638,0.994013074
France,FRA,2025,1.047307847,1.125779285,0.975376497
France,FRA,2030,1.083095785,1.202149132,0.965401821
France,FRA,2035,1.11389823,1.265907212,0.940060776
France,FRA,2040,1.131573348,1.337902733,0.924706859
France,FRA,2045,1.144326247,1.354845224,0.887061775
France,FRA,2050,1.149076103,1.381486038,0.858747828
France,FRA,2055,1.148553862,1.384859965,0.86468068
France,FRA,2060,1.149910061,1.38908836,0.850429161
Germany,DEU,2015,1,1,1
Germany,DEU,2020,1.012870373,1.066581171,1.004117126
Germany,DEU,2025,1.075174839,1.169617527,1.040145504
Germany,DEU,2030,1.16120642,1.321333222,1.088325857
Germany,DEU,2035,1.235338196,1.447734225,1.123303112
Germany,DEU,2040,1.272675299,1.464186253,1.119311604
Germany,DEU,2045,1.294213576,1.456803315,1.103439953
Germany,DEU,2050,1.316013482,1.486963448,1.085775218
Germany,DEU,2055,1.343534284,1.547049465,1.113646354
Germany,DEU,2060,1.372792683,1.599617572,1.144204727
Greece,GRC,2015,1,1,1
Greece,GRC,2020,1.062450566,1.066062464,0.999249113
Greece,GRC,2025,1.119854459,1.130898914,0.975354385
Greece,GRC,2030,1.200233356,1.221920734,0.951668122
Greece,GRC,2035,1.300887769,1.373503835,0.946471278
Greece,GRC,2040,1.421378208,1.558074152,0.957753616
Greece,GRC,2045,1.535934941,1.775146307,0.979973029
Greece,GRC,2050,1.61019312,1.96456303,0.991147404
Greece,GRC,2055,1.646961939,2.032629155,1.029193024
Greece,GRC,2060,1.649562641,2.017164108,1.026092554
Hungary,HUN,2015,1,1,1
Hungary,HUN,2020,0.926056215,1.104153292,0.931087936
Hungary,HUN,2025,0.908762588,1.163873183,0.889272968
Hungary,HUN,2030,0.899786473,1.176480141,0.832808356
Hungary,HUN,2035,0.919659996,1.224783861,0.795451532
Hungary,HUN,2040,0.976039474,1.305522347,0.782766568
Hungary,HUN,2045,1.012711455,1.449669497,0.76884696
Hungary,HUN,2050,1.044523567,1.499661722,0.750313463
Hungary,HUN,2055,1.094559493,1.566521867,0.782944703
Hungary,HUN,2060,1.123509057,1.645912928,0.81922462
Ireland,IRL,2015,1,1,1
Ireland,IRL,2020,1.007928777,1.056810585,0.968322731
Ireland,IRL,2025,1.018026112,1.072429815,0.925504371
Ireland,IRL,2030,1.016534019,1.108164838,0.877752823
Ireland,IRL,2035,1.03480669,1.158600939,0.846376202
Ireland,IRL,2040,1.083206572,1.248714034,0.851689155
Ireland,IRL,2045,1.152101808,1.394039155,0.870573432
Ireland,IRL,2050,1.22396795,1.537703735,0.889969108
Ireland,IRL,2055,1.276110064,1.602411449,0.932043787
Ireland,IRL,2060,1.27313342,1.606011458,0.94457194
Italy,ITA,2015,1,1,1
Italy,ITA,2020,0.944226148,1.049663808,0.923424878
Italy,ITA,2025,0.922287018,1.103285598,0.873686197
Italy,ITA,2030,0.934496245,1.209827247,0.847478528
Italy,ITA,2035,0.961415387,1.339032746,0.831809329
Italy,ITA,2040,0.989088243,1.479628091,0.82613108
Italy,ITA,2045,1.011583022,1.582501899,0.813215813
Italy,ITA,2050,1.018828976,1.630687075,0.790838151
Italy,ITA,2055,1.019733298,1.652970849,0.801126375
Italy,ITA,2060,1.007320579,1.659588557,0.800718429
Latvia,LVA,2015,1,1,1
Latvia,LVA,2020,1.016380054,1.086860453,1.021006033
Latvia,LVA,2025,1.02562762,1.150758038,1.008832569
Latvia,LVA,2030,1.042242855,1.202342474,1.01697926
Latvia,LVA,2035,1.044273846,1.238639014,0.98842062
Latvia,LVA,2040,1.06559619,1.317934526,0.979207887
Latvia,LVA,2045,1.099270918,1.419404764,0.969772672
Latvia,LVA,2050,1.188853951,1.530145498,0.982246054
Latvia,LVA,2055,1.253527654,1.705839249,1.030435678
Latvia,LVA,2060,1.327768339,1.812898587,1.071716545
Lithuania,LTU,2015,1,1,1
Lithuania,LTU,2020,0.977658442,1.106820304,1.003179987
Lithuania,LTU,2025,1.01840124,1.251316382,1.022824255
Lithuania,LTU,2030,1.120802308,1.414960307,1.070050452
Lithuania,LTU,2035,1.182645488,1.514051992,1.099538144
Lithuania,LTU,2040,1.242291745,1.621194798,1.094043628
Lithuania,LTU,2045,1.240663522,1.656387645,1.069138244
Lithuania,LTU,2050,1.279715233,1.724041133,1.071777371
Lithuania,LTU,2055,1.311009406,1.782411492,1.09276845
Lithuania,LTU,2060,1.338150577,1.835673574,1.115378204
Luxembourg,LUX,2015,1,1,1
Luxembourg,LUX,2020,0.931609892,1.061558334,0.964607659
Luxembourg,LUX,2025,0.953613063,1.173801662,0.960769484
Luxembourg,LUX,2030,0.956044986,1.247897993,0.964486523
Luxembourg,LUX,2035,0.980611962,1.330266061,0.933839263
Luxembourg,LUX,2040,1.081935205,1.384857008,0.896746928
Luxembourg,LUX,2045,1.09241687,1.46007811,0.88161144
Luxembourg,LUX,2050,1.089180451,1.502589751,0.87366185
Luxembourg,LUX,2055,1.110376963,1.561295537,0.951338378
Luxembourg,LUX,2060,1.155276963,1.69217438,0.984370581
Montenegro,MNE,2015,1,1,1
Montenegro,MNE,2020,0.899634758,1.106445287,0.949845954
Montenegro,MNE,2025,0.852249959,1.186773456,0.910507738
Montenegro,MNE,2030,0.795918558,1.191536128,0.866073507
Montenegro,MNE,2035,0.757712371,1.162199883,0.818379845
Montenegro,MNE,2040,0.727391833,1.110245694,0.739367306
Montenegro,MNE,2045,0.708728318,1.117129112,0.730732957
Montenegro,MNE,2050,0.726235065,1.145426928,0.730652077
Montenegro,MNE,2055,0.739729454,1.277695553,0.783015344
Montenegro,MNE,2060,0.803013255,1.390384367,0.805186995
Netherlands,NLD,2015,1,1,1
Netherlands,NLD,2020,1.004139168,1.056031668,1.01812155
Netherlands,NLD,2025,1.044678733,1.152113718,1.057153309
Netherlands,NLD,2030,1.106833529,1.276110741,1.118661667
Netherlands,NLD,2035,1.167470832,1.385270544,1.170715844
Netherlands,NLD,2040,1.210078204,1.442620005,1.177151547
Netherlands,NLD,2045,1.216920584,1.430302357,1.17630163
Netherlands,NLD,2050,1.219494084,1.433461874,1.171466545
Netherlands,NLD,2055,1.228458475,1.464087838,1.179451539
Netherlands,NLD,2060,1.255192583,1.520550876,1.21356916
Poland,POL,2015,1,1,1
Poland,POL,2020,0.971355527,1.169199234,0.962526628
Poland,POL,2025,0.998495905,1.320693881,0.951891791
Poland,POL,2030,1.012901665,1.393515629,0.920585052
Poland,POL,2035,1.029982502,1.412645254,0.879236655
Poland,POL,2040,1.05018333,1.466544533,0.854422765
Poland,POL,2045,1.089234652,1.597186402,0.845363696
Poland,POL,2050,1.148542798,1.779609376,0.857004734
Poland,POL,2055,1.213379609,1.933501616,0.913075634
Poland,POL,2060,1.256016655,2.016719187,0.968147197
Portugal,PRT,2015,1,1,1
Portugal,PRT,2020,0.983540577,1.05260386,1.005361061
Portugal,PRT,2025,1.003083001,1.127692961,1.013036694
Portugal,PRT,2030,1.042009513,1.24638265,1.025301813
Portugal,PRT,2035,1.114273788,1.391598873,1.057376994
Portugal,PRT,2040,1.211467375,1.568517401,1.115306714
Portugal,PRT,2045,1.303893644,1.75971243,1.159264339
Portugal,PRT,2050,1.352864521,1.871806562,1.174670752
Portugal,PRT,2055,1.388545951,1.907729253,1.210095943
Portugal,PRT,2060,1.392126051,1.927096986,1.214335226
Romania,ROU,2015,1,1,1
Romania,ROU,2020,0.994009221,1.090211984,0.976831327
Romania,ROU,2025,0.98173249,1.154624681,0.92046643
Romania,ROU,2030,0.997709304,1.156624001,0.87132034
Romania,ROU,2035,1.038618134,1.257322737,0.853963272
Romania,ROU,2040,1.074735109,1.387292895,0.846665547
Romania,ROU,2045,1.116441888,1.546571281,0.838996458
Romania,ROU,2050,1.164345077,1.650497639,0.836574306
Romania,ROU,2055,1.199637144,1.749501633,0.865883775
Romania,ROU,2060,1.219577413,1.754261225,0.883284159
Slovakia,SVK,2015,1,1,1
Slovakia,SVK,2020,0.954673512,1.153233133,0.967998756
Slovakia,SVK,2025,0.976767219,1.276557493,0.969140965
Slovakia,SVK,2030,0.986174441,1.354520144,0.943395872
Slovakia,SVK,2035,1.01758479,1.379487611,0.92527632
Slovakia,SVK,2040,1.066059185,1.46095094,0.90290234
Slovakia,SVK,2045,1.145599697,1.641600039,0.902668861
Slovakia,SVK,2050,1.230728388,1.843556635,0.920391711
Slovakia,SVK,2055,1.320072828,2.037787457,0.99614177
Slovakia,SVK,2060,1.363282597,2.141393151,1.059943888
Slovenia,SVN,2015,1,1,1
Slovenia,SVN,2020,1.025323182,1.170780538,1.02651199
Slovenia,SVN,2025,1.094386042,1.293603502,1.054553182
Slovenia,SVN,2030,1.160028456,1.389398876,1.065736663
Slovenia,SVN,2035,1.216862161,1.45470327,1.041767762
Slovenia,SVN,2040,1.271233399,1.546754911,1.025247912
Slovenia,SVN,2045,1.350649498,1.697721016,1.014370239
Slovenia,SVN,2050,1.386951829,1.859949349,1.011172603
Slovenia,SVN,2055,1.415318308,1.929291046,1.064725861
Slovenia,SVN,2060,1.39275356,1.900569208,1.073271485
Spain,ESP,2015,1,1,1
Spain,ESP,2020,1.019703206,1.054828024,0.999222285
Spain,ESP,2025,1.061103934,1.104423482,1.000239764
Spain,ESP,2030,1.109586271,1.207771148,0.997147284
Spain,ESP,2035,1.201287983,1.355049319,1.019330129
Spain,ESP,2040,1.316986414,1.573254751,1.067667875
Spain,ESP,2045,1.456477623,1.838755314,1.136264572
Spain,ESP,2050,1.549201813,2.010909692,1.174769867
Spain,ESP,2055,1.590095443,2.065167703,1.222567741
Spain,ESP,2060,1.588439145,2.037637205,1.220520207
Sweden,SWE,2015,1,1,1
Sweden,SWE,2020,0.970423449,1.050427195,1.004731182
Sweden,SWE,2025,0.976642835,1.083441397,1.030629042
Sweden,SWE,2030,0.982175923,1.108320172,1.049860328
Sweden,SWE,2035,0.980014689,1.12843666,1.055351559
Sweden,SWE,2040,0.98245907,1.129058094,1.046174924
Sweden,SWE,2045,0.982562717,1.137367278,1.050649906
Sweden,SWE,2050,0.998999398,1.161015353,1.064452531
Sweden,SWE,2055,1.024854213,1.209119506,1.101309039
Sweden,SWE,2060,1.054417844,1.267864388,1.139299978
United Kingdom,GBR,2015,1,1,1
United Kingdom,GBR,2020,1.010529472,1.058874859,0.990367173
United Kingdom,GBR,2025,1.047618798,1.108704306,1.00275448
United Kingdom,GBR,2030,1.075317898,1.173598361,0.999515075
United Kingdom,GBR,2035,1.090181295,1.224740174,0.991271743
United Kingdom,GBR,2040,1.101594549,1.241307649,0.97876741
United Kingdom,GBR,2045,1.115303351,1.255511376,0.971476917
United Kingdom,GBR,2050,1.136961647,1.299572592,0.97447499
United Kingdom,GBR,2055,1.159923572,1.353788063,1.002031533
United Kingdom,GBR,2060,1.181306754,1.405887008,1.021855341
